"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cuba","CUB","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5300006866455","20.5100002288818","21.6399993896484","23.0799999237061","","",
"Curacao","CUW","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15000009536743","6.5","5.65000009536743","5.73000001907349","6.44999980926514","7.3899998664856","6.34000015258789","6.09000015258789","5.55000019073486","5.15000009536743","4.73000001907349","4.53000020980835","4.09999990463257","4.03999996185303","3.70000004768372","2.3199999332428","",
"Czech Republic","CZE","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.69000005722046","3.19000005722046","3.78999996185303","4.05999994277954","4.03999996185303","4.11999988555908","4.17000007629395","4.17000007629395","4.1399998664856","4.03000020980835","4.21000003814697","4.01999998092651","3.72000002861023","4.05999994277954","3.74000000953674","3.5699999332428","3.72000002861023","3.65000009536743","3.60999989509583","3.39000010490417","3.35999989509583","3.46000003814697","3.51999998092651","",
"Denmark","DNK","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","11.5900001525879","4.5","4.65000009536743","4.46999979019165","4.42999982833862","4.30999994277954","4.53000020980835","4.3600001335144","4.34000015258789","4.1399998664856","4.28000020980835","4.05999994277954","4.26000022888184","3.91000008583069","3.85999989509583","4.23999977111816","4.15999984741211","4.19999980926514","4.05000019073486","4.1399998664856","4.03999996185303","3.46000003814697","3.70000004768372","4","3.84999990463257","3.84999990463257","3.94000005722046","3.61999988555908","3.64000010490417","3.53999996185303","3.45000004768372","3.5","3.53999996185303","3.42000007629395",
"Djibouti","DJI","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.19999980926514","","","","","","11.3599996566772","","4.05000019073486","","4.98000001907349","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9300000667572","3.45000004768372","3.73000001907349","3.23000001907349","3.58999991416931","3.34999990463257","3.40000009536743","3.36999988555908","3.41000008583069","3.03999996185303","3.52999997138977","3.24000000953674","3.22000002861023","4.90000009536743","4.6100001335144","3.80999994277954","3.99000000953674","","4.75","3.88000011444092","3.58999991416931","3.39000010490417","3.78999996185303","3.52999997138977","3.24000000953674","",
"Ecuador","ECU","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.13000011444092","7.69999980926514","5","6.19000005722046","8.06999969482422","8.14000034332275","7.94000005722046","7.80000019073486","7.51000022888184","7.78999996185303","8.01000022888184","8.48999977111816","4.61999988555908","5.84000015258789","6.8899998664856","5.19999980926514","6.90999984741211","6.36999988555908","6.48000001907349","","","","","3.23000001907349","3.52999997138977","2.98000001907349","3.08999991416931","3.25","",
"Egypt, Arab Rep.","EGY","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8100004196167","16.0200004577637","15.9799995422363","17.1200008392334","17.8799991607666","17.4500007629395","17.8600006103516","17.2900009155273","14.6999998092651","13.3800001144409","14.1199998855591","","15.1300001144409","14.7399997711182","15.710000038147","15.6700000762939","12.5500001907349","13.7200002670288","11.9399995803833","",
"El Salvador","SLV","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1100001335144","5.09000015258789","5.03000020980835","3.24000000953674","4.3899998664856","5.38000011444092","4.55000019073486","4.59999990463257","4.6399998664856","4.28000020980835","4.3600001335144","4.30999994277954","4.32999992370605","","4.32000017166138","4.1100001335144","3.74000000953674","4.23000001907349","4.28999996185303","","","",
"Equatorial Guinea","GNQ","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","38.2999992370605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.490000009536743","0.620000004768372","1.01999998092651","1.42999994754791","2.0699999332428","2.74000000953674","2.24000000953674","2.30999994277954","2.33999991416931","2.67000007629395","3.58999991416931","2.97000002861023","2.21000003814697","1.82000005245209","2.58999991416931","3.30999994277954","2.57999992370605","2.67000007629395","3.29999995231628","3.39000010490417","3.84999990463257","3.48000001907349","3.95000004768372","3.78999996185303","3.76999998092651","3.42000007629395","3.64000010490417","",
"Ethiopia","ETH","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.769999980926514","","","","","0.569999992847443","0.600000023841858","0.689999997615814","","","0.519999980926514","0.5","0.810000002384186","0.689999997615814","0.419999986886978","0.939999997615814","","",
